type,code,name,ISIN,start,market,group,CFI
上櫃認購(售)權證,708924,穩懋永昌9C購01,TW20Z7089242,2020/01/31,上櫃,,RWSCCE
上櫃認購(售)權證,708998,大學光康和9B購01,TW20Z7089986,2020/01/31,上櫃,,RWSCCA
上櫃認購(售)權證,709067,統新統一01購01,TW20Z7090679,2020/02/05,上櫃,,RWSCCA
上櫃認購(售)權證,709069,統新統一9B購01,TW20Z7090695,2020/02/04,上櫃,,RWSCCA
上櫃認購(售)權證,709070,統新統一9C購01,TW20Z7090703,2020/02/05,上櫃,,RWSCCA
上櫃認購(售)權證,709195,碩禾元富9B購01,TW20Z7091958,2020/02/07,上櫃,,RWSCCA
上櫃認購(售)權證,709207,原相群益9B購01,TW20Z7092071,2020/02/10,上櫃,,RWSCCA
上櫃認購(售)權證,709230,環球晶富邦9B購01,TW20Z7092303,2020/02/10,上櫃,,RWSCCA
上櫃認購(售)權證,709239,環球晶第一01購01,TW20Z7092394,2020/02/10,上櫃,,RWSCCA
上櫃認購(售)權證,709327,碩禾元富9B購02,TW20Z7093277,2020/02/13,上櫃,,RWSCCA
上櫃認購(售)權證,709372,神盾第一9C購01,TW20Z7093723,2020/02/14,上櫃,,RWSCCA
上櫃認購(售)權證,709403,雙美國票9B購01,TW20Z7094036,2020/02/17,上櫃,,RWSCCA
上櫃認購(售)權證,709407,大學光富邦9C購01,TW20Z7094077,2020/02/17,上櫃,,RWSCCA
上櫃認購(售)權證,709492,同致元富9B購01,TW20Z7094929,2020/02/20,上櫃,,RWSCCA
上櫃認購(售)權證,709609,穩懋元富02購01,TW20Z7096098,2020/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,709610,穩懋元富02購02,TW20Z7096106,2020/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,709611,穩懋元富02購03,TW20Z7096114,2020/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,709612,穩懋元富02購04,TW20Z7096122,2020/02/24,上櫃,,RWSCCA
上櫃認購(售)權證,709626,建榮國票9A購01,TW20Z7096262,2020/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,709638,威剛富邦9A購01,TW20Z7096387,2020/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,709645,合晶統一9A購01,TW20Z7096452,2020/02/26,上櫃,,RWSCCA
上櫃認購(售)權證,709664,神盾第一9C購02,TW20Z7096643,2020/02/26,上櫃,,RWSCCA
上櫃認購(售)權證,709682,建榮國票9A購02,TW20Z7096825,2020/02/27,上櫃,,RWSCCA
上櫃認購(售)權證,709684,雍智國泰9A購01,TW20Z7096841,2020/02/27,上櫃,,RWSCCA
上櫃認購(售)權證,709686,元太中信9A購01,TW20Z7096866,2020/02/27,上櫃,,RWSCCE
上櫃認購(售)權證,709687,台燿中信9A購01,TW20Z7096874,2020/02/27,上櫃,,RWSCCE
上櫃認購(售)權證,709688,合晶中信9A購02,TW20Z7096882,2020/02/27,上櫃,,RWSCCE
上櫃認購(售)權證,709712,穩懋國泰9B購01,TW20Z7097120,2020/03/02,上櫃,,RWSCCA
上櫃認購(售)權證,709734,中美晶統一9B購02,TW20Z7097344,2020/03/03,上櫃,,RWSCCA
上櫃認購(售)權證,709735,宏捷科統一9B購01,TW20Z7097351,2020/03/03,上櫃,,RWSCCA
上櫃認購(售)權證,709736,宏捷科凱基9B購01,TW20Z7097369,2020/03/04,上櫃,,RWSCCA
上櫃認購(售)權證,709737,威剛凱基9B購01,TW20Z7097377,2020/03/03,上櫃,,RWSCCA
上櫃認購(售)權證,709747,迅得元大9B購01,TW20Z7097476,2020/03/03,上櫃,,RWSCCA
上櫃認購(售)權證,709752,中美晶富邦9B購01,TW20Z7097526,2020/03/03,上櫃,,RWSCCA
上櫃認購(售)權證,709753,宏捷科富邦9B購01,TW20Z7097534,2020/03/03,上櫃,,RWSCCA
上櫃認購(售)權證,709754,穩懋富邦9B購01,TW20Z7097542,2020/03/03,上櫃,,RWSCCA
上櫃認購(售)權證,709762,宏捷科統一9B購02,TW20Z7097625,2020/03/05,上櫃,,RWSCCA
上櫃認購(售)權證,709764,建榮統一9B購01,TW20Z7097641,2020/03/04,上櫃,,RWSCCA
上櫃認購(售)權證,709774,海韻電國泰9B購01,TW20Z7097740,2020/03/04,上櫃,,RWSCCA
上櫃認購(售)權證,709775,原相富邦9B購01,TW20Z7097757,2020/03/04,上櫃,,RWSCCA
上櫃認購(售)權證,709776,環球晶富邦9B購02,TW20Z7097765,2020/03/04,上櫃,,RWSCCA
上櫃認購(售)權證,709777,神盾群益9B購01,TW20Z7097773,2020/03/04,上櫃,,RWSCCA
上櫃認購(售)權證,709783,宏捷科元富9C購01,TW20Z7097831,2020/03/05,上櫃,,RWSCCA
上櫃認購(售)權證,709793,威剛統一9B購01,TW20Z7097930,2020/03/05,上櫃,,RWSCCA
上櫃認購(售)權證,709794,原相統一9B購01,TW20Z7097948,2020/03/05,上櫃,,RWSCCA
上櫃認購(售)權證,709795,穩懋統一9B購01,TW20Z7097955,2020/03/05,上櫃,,RWSCCA
上櫃認購(售)權證,709799,鈺太國泰9C購01,TW20Z7097997,2020/03/05,上櫃,,RWSCCA
上櫃認購(售)權證,709800,建榮富邦9B購01,TW20Z7098003,2020/03/05,上櫃,,RWSCCA
上櫃認購(售)權證,709805,VHQ群益9B購01,TW20Z7098052,2020/03/05,上櫃,,RWSCCA
上櫃認購(售)權證,709806,建榮群益9B購01,TW20Z7098060,2020/03/05,上櫃,,RWSCCA
上櫃認購(售)權證,709830,信驊國泰9B購01,TW20Z7098300,2020/03/06,上櫃,,RWSCCA
上櫃認購(售)權證,709831,原相富邦9C購01,TW20Z7098318,2020/03/06,上櫃,,RWSCCA
上櫃認購(售)權證,709832,宏捷科元富9C購02,TW20Z7098326,2020/03/06,上櫃,,RWSCCA
上櫃認購(售)權證,709834,建榮統一9B購02,TW20Z7098342,2020/03/06,上櫃,,RWSCCA
上櫃認購(售)權證,709843,雙鴻中信9B購01,TW20Z7098433,2020/03/06,上櫃,,RWSCCE
上櫃認購(售)權證,709847,宇峻元大9C購01,TW20Z7098474,2020/03/09,上櫃,,RWSCCA
上櫃認購(售)權證,709855,穩懋富邦9B購02,TW20Z7098557,2020/03/09,上櫃,,RWSCCA
上櫃認購(售)權證,709873,東洋統一9B購01,TW20Z7098730,2020/03/10,上櫃,,RWSCCA
上櫃認購(售)權證,709883,優群元大9B購01,TW20Z7098839,2020/03/10,上櫃,,RWSCCA
上櫃認購(售)權證,709887,神盾群益9B購02,TW20Z7098870,2020/03/10,上櫃,,RWSCCA
上櫃認購(售)權證,709889,台燿元富9C購01,TW20Z7098896,2020/03/11,上櫃,,RWSCCA
上櫃認購(售)權證,709891,大宇資凱基9B購01,TW20Z7098912,2020/03/11,上櫃,,RWSCCA
上櫃認購(售)權證,709892,宇峻凱基9B購01,TW20Z7098920,2020/03/11,上櫃,,RWSCCA
上櫃認購(售)權證,709894,統新凱基9B購01,TW20Z7098946,2020/03/11,上櫃,,RWSCCA
上櫃認購(售)權證,709896,雙美凱基9B購01,TW20Z7098961,2020/03/11,上櫃,,RWSCCA
上櫃認購(售)權證,709910,宏捷科國泰9B購01,TW20Z7099100,2020/03/11,上櫃,,RWSCCA
上櫃認購(售)權證,709911,精測國泰9C購01,TW20Z7099118,2020/03/11,上櫃,,RWSCCA
上櫃認購(售)權證,709912,威剛富邦9C購01,TW20Z7099126,2020/03/11,上櫃,,RWSCCA
上櫃認購(售)權證,709914,中美晶群益9B購01,TW20Z7099142,2020/03/11,上櫃,,RWSCCA
上櫃認購(售)權證,709920,原相日盛9B購01,TW20Z7099209,2020/03/12,上櫃,,RWSCCA
上櫃認購(售)權證,709921,雍智國泰9C購01,TW20Z7099217,2020/03/12,上櫃,,RWSCCA
上櫃認購(售)權證,709931,建榮統一9B購03,TW20Z7099316,2020/03/12,上櫃,,RWSCCA
上櫃認購(售)權證,709933,碩禾凱基9B購01,TW20Z7099332,2020/03/12,上櫃,,RWSCCA
上櫃認購(售)權證,709937,兆利元大9B購01,TW20Z7099373,2020/03/12,上櫃,,RWSCCA
上櫃認購(售)權證,709953,建榮元大9B購01,TW20Z7099530,2020/03/13,上櫃,,RWSCCA
上櫃認購(售)權證,709956,群聯統一9B購01,TW20Z7099563,2020/03/13,上櫃,,RWSCCA
上櫃認購(售)權證,709959,保瑞凱基9B購01,TW20Z7099597,2020/03/13,上櫃,,RWSCCA
上櫃認購(售)權證,709961,雍智凱基9B購01,TW20Z7099613,2020/03/13,上櫃,,RWSCCA
上櫃認購(售)權證,709966,金居群益9B購01,TW20Z7099662,2020/03/16,上櫃,,RWSCCA
上櫃認購(售)權證,709972,旺矽元大9B購01,TW20Z7099720,2020/03/16,上櫃,,RWSCCA
上櫃認購(售)權證,709983,群聯日盛9B購01,TW20Z7099837,2020/03/17,上櫃,,RWSCCA
上櫃認購(售)權證,709984,原相群益9C購01,TW20Z7099845,2020/03/17,上櫃,,RWSCCA
上櫃認購(售)權證,709985,大江富邦9B購02,TW20Z7099852,2020/03/17,上櫃,,RWSCCA
上櫃認購(售)權證,709994,中美晶元大9B購01,TW20Z7099944,2020/03/17,上櫃,,RWSCCA
