type,code,name,ISIN,start,market,group,CFI
上市認購(售)權證,059069,臺指反元大9C購01,TW20Z0590691,2020/03/16,上市,,RWBCCA
上市認購(售)權證,05906P,國巨元富96售05,TW19Z05906P7,2019/12/23,上市,,RWSCPE
上市認購(售)權證,059070,道瓊指元大99購02,TW20Z0590709,2020/03/16,上市,,RWBCCA
上市認購(售)權證,059071,元油2X元大9C購12,TW20Z0590717,2020/03/16,上市,,RWBCCA
上市認購(售)權證,059072,元油2X元大9C購13,TW20Z0590725,2020/03/16,上市,,RWBCCA
上市認購(售)權證,059073,元油2X元大9C購14,TW20Z0590733,2020/03/16,上市,,RWBCCA
上市認購(售)權證,059074,元油2X元大9C購15,TW20Z0590741,2020/03/16,上市,,RWBCCA
上市認購(售)權證,059075,FBVIX元大99購01,TW20Z0590758,2020/03/16,上市,,RWBCCA
上市認購(售)權證,059076,FBVIX元大99購04,TW20Z0590766,2020/03/16,上市,,RWBCCA
上市認購(售)權證,059077,FBVIX元大99購05,TW20Z0590774,2020/03/16,上市,,RWBCCA
上市認購(售)權證,059078,FBVIX元大99購06,TW20Z0590782,2020/03/16,上市,,RWBCCA
上市認購(售)權證,059079,SGBR2X元大99購01,TW20Z0590790,2020/03/16,上市,,RWBCCA
上市認購(售)權證,05907P,聯發科元富96售05,TW19Z05907P5,2019/12/23,上市,,RWSCPE
上市認購(售)權證,059080,亞泥元大99購01,TW20Z0590808,2020/03/16,上市,,RWSCCA
上市認購(售)權證,059081,和大元大99購01,TW20Z0590816,2020/03/16,上市,,RWSCCA
上市認購(售)權證,059082,華通元大99購06,TW20Z0590824,2020/03/16,上市,,RWSCCA
上市認購(售)權證,059083,華通元大99購07,TW20Z0590832,2020/03/16,上市,,RWSCCA
上市認購(售)權證,059084,鴻海元大99購24,TW20Z0590840,2020/03/16,上市,,RWSCCA
上市認購(售)權證,059085,鴻海元大99購25,TW20Z0590857,2020/03/16,上市,,RWSCCA
上市認購(售)權證,059086,國巨元大99購18,TW20Z0590865,2020/03/16,上市,,RWSCCA
